id,Title,Year,Runtime,Rating,Language,Country
329,The Cut Runs Deep,1999,110 min,7.2,English,USA
330,The New Girlfriend,1999,83 min,5.4,English,Australia
331,Goosed,1999,95 min,4.0,English,USA
332,Hit and Runway,1999,108 min,6.6,"English, Hebrew",USA
333,How to Get Laid at the End of the World,1999,,7.9,English,USA
334,Idle Hands,1999,92 min,6.2,English,USA
335,If... Dog... Rabbit,1999,108 min,5.6,"English, Spanish",USA
336,Guo jong,1999,102 min,6.6,,Taiwan
337,Kick,1999,92 min,5.8,English,Australia
338,Man of the Century,1999,77 min,7.0,"Italian, Chinese, English",USA
339,Junk,1999,,5.0,English,"USA, Canada"
340,Love... at Your Disposal,2000,,6.2,English,USA
341,Hot Dogs: Wau - wir sind reich!,1999,84 min,5.7,"German, English","Germany, USA"
342,Muggers,2000,97 min,5.6,English,Australia
343,The Opportunists,2000,90 min,5.6,"English, Polish","UK, USA"
344,The Other Side,1999,,,,Denmark
345,Paging Emma,1999,112 min,5.8,English,Puerto Rico
346,Pigeonholed,1999,88 min,3.9,English,USA
347,Rejected by Vultures,1999,,5.2,English,USA
348,The Road to El Dorado,2000,89 min,6.9,English,USA
349,Roberta,1999,85 min,5.6,English,USA
350,Sally Marshall Is Not an Alien,1999,90 min,5.4,English,"Australia, Canada"
351,Seamless: Kidz Rule,1999,91 min,2.0,English,"USA, Canada"
352,The Hiding Place,2000,97 min,6.7,English,USA
353,Spank,1999,89 min,4.9,English,Australia
354,Standing on Fishes,1999,89 min,6.6,English,USA
355,Story of a Bad Boy,1999,85 min,5.3,English,USA
356,Tales from the Tower,2001,,6.8,English,UK
357,Three Seasons,1999,104 min,7.2,"English, Vietnamese","Vietnam, USA"
358,Trapped,1999,92 min,6.8,English,USA
359,Waterproof,2000,95 min,6.5,English,USA
360,The Yards,2000,115 min,6.4,"English, Spanish",USA
361,The Zen Master,1999,,2.0,,USA
362,ATF,1999,88 min,4.4,English,USA
363,Cherry,1999,90 min,5.3,English,USA
364,Crash1945,1999,,,,
365,Cruel Intentions,1999,97 min,6.8,"English, Vietnamese, French",USA
366,Inferno,1999,95 min,5.2,English,"USA, France"
367,Dog Story,2000,81 min,6.7,English,USA
368,Dollface,1998,,,,
369,Dumbarton Bridge,1999,98 min,5.4,English,USA
370,Fashionably L.A.,1999,95 min,5.5,English,USA
371,Go,1999,102 min,7.2,English,USA
372,Gwen's Tit Torment,2002,58 min,,English,USA
373,It Had to Be You,2000,96 min,5.7,English,USA
374,The Joyriders,1999,100 min,6.2,English,USA
375,Tangoed Lives,2002,,6.4,,USA
376,New Berlin,2000,,6.2,English,Canada
377,In Vanda's Room,2000,171 min,7.2,Portuguese,"Portugal, Germany, Switzerland"
378,Training Day,2001,122 min,7.7,"English, Russian, Spanish, Korean, Greek",USA
379,The Ghost,2001,86 min,3.8,English,USA
380,Isn't She Great,2000,95 min,5.4,English,"UK, Germany, Canada, Japan, USA"
381,Town & Country,2001,104 min,4.5,English,USA
382,U-571,2000,116 min,6.6,"English, German","France, USA, Italy"
383,Meeting Daddy,2000,96 min,4.5,English,USA
384,O Crime ao Pé do Resto do Mundo,2000,,,Portuguese,Portugal
385,Knockout,2000,99 min,4.0,English,USA
386,Scratch,2001,92 min,7.9,English,USA
387,American Psycho,2000,101 min,7.6,"English, Spanish, Cantonese","USA, Canada"
388,Chippendales,2001,,5.5,English,USA
389,Committed,2000,98 min,5.1,"English, Spanish",USA
390,Nutty Professor II: The Klumps,2000,106 min,4.4,English,USA
391,Red Lipstick,2000,90 min,7.1,English,USA
392,Sinbad: Beyond the Veil of Mists,2000,85 min,4.9,English,"India, USA"
393,Totally Board,2002,,,English,USA
394,Fé,2000,91 min,8.1,Portuguese,Brazil
395,Highlander: Endgame,2000,87 min,4.6,"English, French, Scottish Gaelic","UK, USA, Luxembourg"
396,Pain & Punishment,2002,,,English,USA
397,Silent Partner,2001,84 min,5.6,English,Australia
398,Spider-Man,2002,121 min,7.3,English,USA
399,Egy legenda nyomában - A Petöfi-expedíció,2002,60 min,,Hungarian,Hungary
400,Naqoyqatsi,2002,89 min,6.6,English,USA
401,The Princess and the Pea,2002,75 min,6.3,English,"USA, Hungary"
402,Thirteen Days,2000,145 min,7.3,"English, Russian, Spanish, Romanian",USA
403,Lara Croft: Tomb Raider,2001,100 min,5.8,English,"USA, UK, Japan, Germany"
404,Les faux médicaments,1996,,6.8,French,France
405,High Fidelity,2000,113 min,7.5,"English, Danish","UK, USA"
406,The Legend of Bagger Vance,2000,126 min,6.7,English,USA
407,Rocco's Cocktales 6,2000,78 min,5.0,,Italy
408,Shafted!,2000,90 min,3.9,English,USA
409,Eat Me!,2000,,5.4,English,USA
410,Eyes to Heaven,2000,88 min,5.9,English,USA
411,Little Shop of Erotica,2001,87 min,3.9,English,USA
412,Looking for an Echo,2000,97 min,6.9,English,USA
413,The Good War,2002,96 min,6.1,English,"USA, Italy"
414,Where the Money Is,2000,89 min,6.2,English,"Germany, USA, UK, Canada"
415,All the Pretty Horses,2000,116 min,5.8,"English, Spanish",USA
416,Camouflage,2001,98 min,4.7,English,"USA, Canada"
417,Josh,2000,162 min,6.1,Hindi,India
418,Last Fair Deal,1995,101 min,5.4,English,USA
419,Laughing Boy,2000,82 min,5.6,English,USA
420,Ljuset håller mig sällskap,2000,78 min,7.0,"English, Swedish","Sweden, Denmark"
421,Love,2001,110 min,6.8,English,USA
422,Probably Love,2001,107 min,6.0,Italian,"Italy, Switzerland"
423,Refränger från källaren,2000,54 min,4.7,Swedish,Sweden
424,Swing Set,2002,73 min,,English,USA
425,The Thief & the Stripper,2000,84 min,3.9,English,USA
426,Time of Her Time,2000,93 min,7.5,English,USA
427,Flowers of Femme,2002,,,Japanese,Japan
428,Up at the Villa,2000,115 min,6.0,English,"UK, USA"
429,Bitten: Victoria's Shadow,2001,80 min,7.1,English,USA
430,The Perfect Wife,2001,90 min,5.0,English,USA
431,Wild Blue,2000,,5.3,English,New Zealand
432,The Bacchae,2002,90 min,6.8,English,USA
433,Condo Painting,2000,,7.1,English,USA
434,Home Movies,1998,,7.0,English,Canada
435,Kill me softly - Frauenmord in Frankfurt,2000,90 min,6.4,"English, German","USA, Germany"
436,Secrets of a Chambermaid,2000,99 min,5.2,English,USA
437,A Good Baby,2000,87 min,7.0,English,USA
438,I'll Remember April,2000,90 min,6.2,English,USA
439,Ricky 6,2000,111 min,6.0,English,"USA, Mexico, Canada"
440,Sabbath in Paradise,1998,1 h 25 min,,,
441,Screwed,2000,81 min,5.8,English,USA
442,Book of Love: The Definitive Reason Why Men Are Dogs,2002,91 min,6.6,English,USA
443,Apartment 12,2000,89 min,5.0,"English, Spanish",USA
444,Mad About Mambo,2000,92 min,6.0,English,"Ireland, UK"
445,Mr. Accident,2000,88 min,4.3,English,Australia
446,My Dog Skip,2000,95 min,7.0,"English, German",USA
447,The Next Best Thing,2000,108 min,4.7,"English, French",USA
448,Rave,2000,85 min,5.1,English,USA
449,Chasing Destiny,2001,94 min,5.7,English,USA
450,Sacrifice,2000,90 min,4.9,English,USA
451,After Image,2001,92 min,4.3,"English, American Sign Language","UK, USA"
452,Faithless,2000,142 min,7.4,"Swedish, French","Sweden, Italy, Germany, Finland, Norway"
453,Yup Yup Man,2000,89 min,4.7,English,USA
454,2001: A Space Travesty,2000,99 min,3.6,English,"Canada, Germany"
455,Clockstoppers,2002,94 min,5.2,English,USA
456,Daddy Tell Me a Story...,2000,,7.3,English,"Canada, USA"
457,Enigma,2001,119 min,6.3,"English, German","UK, USA, Germany, Netherlands"
458,Island of the Dead,2000,91 min,2.8,English,Canada
459,Nora,2000,106 min,6.0,"English, Italian","Ireland, UK, Italy, Germany"
460,Channelling Baby,2000,92 min,5.7,,New Zealand
461,Shit Happens,2000,114 min,5.4,Swedish,"Sweden, Denmark, France, Norway"
462,Evicted,2000,99 min,3.7,English,USA
463,The Flintstones in Viva Rock Vegas,2000,90 min,3.7,English,USA
464,Lennon,2000,,5.7,English,USA
465,På fremmed mark,2000,93 min,5.4,"English, Danish, Serbo-Croatian",Denmark
466,18 D,2000,102 min,,,USA
467,April's Fool,2001,97 min,7.2,,USA
468,Behind Enemy Lines,2001,106 min,6.4,"English, Serbo-Croatian, Spanish, Czech",USA
469,Attention Shoppers,2000,,5.1,English,USA
470,Impact,2000,90 min,7.6,English,USA
471,The Demo Crew,2001,108 min,5.3,English,USA
472,Civility,2000,82 min,3.7,English,USA
